Classifier: SVM
Mode: Quaternário
GridSearch: False
RFE: False
PCA: False
Used files for training: full-corpus.csv;full_training_dataset.csv;twitter-sanders-apple2.csv;
Used files for testing: irrelevantTest.csv;twitter-sanders-apple3.csv;
DataTrain length: 27066
DataTest length: 1073

-----PREDCTION INFO-----
Accuracy: 0.937558247903

Report:
             precision    recall  f1-score   support

        pos       0.89      0.96      0.93       163
        neg       0.95      0.98      0.97       316
        neu       0.94      0.99      0.96       509
        irr       1.00      0.42      0.60        85

avg / total       0.94      0.94      0.93      1073

Confusion Matrix:
[[157   2   4   0]
 [  1 311   4   0]
 [  3   4 502   0]
 [ 15  10  24  36]]

67 Wrong Predictions:
0 - [Correct: irr ; Predicted: neu] cenaze nedeniyle kapal y z apple http t co j l kk
30 - [Correct: irr ; Predicted: pos] hazi apple com
31 - [Correct: irr ; Predicted: neu] n apple vai trabalhar no iphone
32 - [Correct: irr ; Predicted: neg] i guess i should go hublot apple and zegnaofficial shopping next week birthdays only come once a year lol
33 - [Correct: irr ; Predicted: neg] assistindo o filme chapa piratas da inform tica esse filme e foda viva apple
34 - [Correct: irr ; Predicted: neu] iphone apple store g
35 - [Correct: irr ; Predicted: pos] new arrivals and percent off clearance of matching g http t co qqcwyl b lds scriptures apple e book
36 - [Correct: irr ; Predicted: neg] today very cheap for patio furniture san anton http t co sd i bjm plastic apple bags
37 - [Correct: irr ; Predicted: pos] find more the best angel christmas tree o http t co d g ry d starfrit apple peeler
38 - [Correct: irr ; Predicted: pos] find more the best maytag washer control board deal check pric http t co sndkag e best apple peeler
39 - [Correct: irr ; Predicted: pos] find more the best cyst on knee deal check price of best cyst on knee and offers now http t co qzynnuvi automatic apple
40 - [Correct: irr ; Predicted: neg] do not check other site for uhmw conveyor now you go best site of uhmw conveyor http t co rmv d q pin cable apple
41 - [Correct: irr ; Predicted: neu] do not check other site for ed hardy black long sl http t co hengqgqp unlocked apple touch phones
42 - [Correct: irr ; Predicted: pos] hello you are find mesh jacket motorcycle our site have more mesh http t co tyg ualc ace hardware apple pee
43 - [Correct: irr ; Predicted: pos] chriswglowe apple gadgetlab you can tell me tonight cracking open the vodka tonight if you fancy
44 - [Correct: irr ; Predicted: neu] buy more products of hemp jewelry instructions now free ship http t co bps t lehmans apple peeler
45 - [Correct: irr ; Predicted: neu] rogriffo vc viu ontem a apple estava dando iphone no site dos estados unidos
46 - [Correct: irr ; Predicted: neu] today very cheap for hemp for fuel and free shipping for hemp for fuel too http t co gyjlbmw farberware apple peeler
47 - [Correct: irr ; Predicted: pos] discount hemp knots today cheap price too save money for best hemp knots http t co h joplq avanti apple peeler
48 - [Correct: irr ; Predicted: pos] today very cheap for icemaker and free shipping for icemaker too http t co clkwaio french apple peeler
49 - [Correct: pos ; Predicted: neg] i just realized that the reason i got into twitter was ios thanks apple
50 - [Correct: pos ; Predicted: neu] apple good ipad
51 - [Correct: pos ; Predicted: neu] ios apple
52 - [Correct: pos ; Predicted: neu] azee v apple umber appstore is well done so is itunes on the mobile devices i was talking about desktop app
53 - [Correct: pos ; Predicted: neg] the nice apple tech support guy fixed my itouch d
54 - [Correct: pos ; Predicted: neu] apple your simply the best
55 - [Correct: neg ; Predicted: neu] why is siri always down apple
56 - [Correct: neg ; Predicted: neu] asimrang apple umber the desktop app is wack though
57 - [Correct: neg ; Predicted: neu] where is my iphone apple
58 - [Correct: neg ; Predicted: neu] apple siri is down
59 - [Correct: neg ; Predicted: pos] is it me or does iphone s run a little warm sometimes apple
60 - [Correct: neu ; Predicted: neg] iphone can you please make the battery last longer thanks apple
61 - [Correct: neu ; Predicted: pos] 
62 - [Correct: neu ; Predicted: neg] i love apple i love my phone but ever since this damn update my texts keep saying they re full when there are none that s a problem
63 - [Correct: neu ; Predicted: neg] does the iphone s no longer have that stupid network lost pop up possibly the most annoying thing ever that you cannot turn off apple
64 - [Correct: neu ; Predicted: neg] keke blackberry apple haha i know so sad
65 - [Correct: neu ; Predicted: pos] just made the switch from blackberry to apple and never looking back bbwho
66 - [Correct: neu ; Predicted: pos] 
