Classifier: Naive Bayes
Mode: Quaternário
DataTrain length: 27066
DataTest length: 1073

-----PREDCTION INFO-----
Accuracy: 0.756756756757

Report:
             precision    recall  f1-score   support

        pos       0.76      0.78      0.77       163
        neg       0.64      0.98      0.77       316
        neu       0.89      0.69      0.78       509
        irr       0.93      0.31      0.46        85

avg / total       0.80      0.76      0.75      1073

Confusion Matrix:
[[127  20  16   0]
 [  2 309   5   0]
 [ 25 132 350   2]
 [ 14  22  23  26]]

261 Wrong Predictions:
cenaze nedeniyle kapal y z apple http t co j l kk | Correct: irr Predicted: neu
quiero migrar apple | Correct: irr Predicted: neg
apple pratet om en versjon av ipod touch til barn de ombestemte seg da tittelen n rmet seg itouch kids | Correct: irr Predicted: pos
oja ik ben gelijk al mijn apps kwijt bedankt apple | Correct: irr Predicted: neg
deal schn ppchen update ipad ipad generation general berholt ab apple http t co xdtdzurd | Correct: irr Predicted: neu
charence ramos apple jane heimacho tintin julielmo new followers na follow back ko na po kayo | Correct: irr Predicted: pos
ipad ipad generation general berholt ab apple der tablet von apple bleibt weiterhin recht preisstab http t co h anhavu | Correct: irr Predicted: neu
kan apple de tekstaanvulling op iphone en ipad niet omdraaien eigenteksteerst weetapplehetaltijdbeter | Correct: irr Predicted: pos
ipad ipad generation general berholt ab apple http t co tov xkq | Correct: irr Predicted: neu
hazi apple com | Correct: irr Predicted: pos
o piratasdainformatica s n o disse se o bill gates tbm dono da apple | Correct: irr Predicted: neu
n apple vai trabalhar no iphone | Correct: irr Predicted: neg
i guess i should go hublot apple and zegnaofficial shopping next week birthdays only come once a year lol | Correct: irr Predicted: neg
assistindo o filme chapa piratas da inform tica esse filme e foda viva apple | Correct: irr Predicted: neg
iphone apple store g | Correct: irr Predicted: neu
new arrivals and percent off clearance of matching g http t co qqcwyl b lds scriptures apple e book | Correct: irr Predicted: neg
today very cheap for patio furniture san anton http t co sd i bjm plastic apple bags | Correct: irr Predicted: neg
causando na loja da apple | Correct: irr Predicted: neg
fico manso os pre os desses iphones absurdos r assim n o d f a apple s se eu fizesse programa na beira mar | Correct: irr Predicted: neu
find more the best angel christmas tree o http t co d g ry d starfrit apple peeler | Correct: irr Predicted: pos
find more the best maytag washer control board deal check pric http t co sndkag e best apple peeler | Correct: irr Predicted: pos
find more the best cyst on knee deal check price of best cyst on knee and offers now http t co qzynnuvi automatic apple | Correct: irr Predicted: pos
do not check other site for uhmw conveyor now you go best site of uhmw conveyor http t co rmv d q pin cable apple | Correct: irr Predicted: neg
do not check other site for ed hardy black long sl http t co hengqgqp unlocked apple touch phones | Correct: irr Predicted: neu
rt thbenkoe hey apple dass man selektiv keine einzelnen fotos peinliche berfl ssige etc aus dem fotostream l schen kann ist do | Correct: irr Predicted: neg
esperaba mas de ios apple | Correct: irr Predicted: neg
hello you are find mesh jacket motorcycle our site have more mesh http t co tyg ualc ace hardware apple pee | Correct: irr Predicted: neu
to reiniciando meu computador as id ia apple | Correct: irr Predicted: pos
chriswglowe apple gadgetlab you can tell me tonight cracking open the vodka tonight if you fancy | Correct: irr Predicted: neg
buy more products of hemp jewelry instructions now free ship http t co bps t lehmans apple peeler | Correct: irr Predicted: neu
rogriffo vc viu ontem a apple estava dando iphone no site dos estados unidos | Correct: irr Predicted: neu
today very cheap for hemp for fuel and free shipping for hemp for fuel too http t co gyjlbmw farberware apple peeler | Correct: irr Predicted: pos
discount hemp knots today cheap price too save money for best hemp knots http t co h joplq avanti apple peeler | Correct: irr Predicted: neg
today very cheap for icemaker and free shipping for icemaker too http t co clkwaio french apple peeler | Correct: irr Predicted: pos
apple will be adding more carrier support to the iphone s just announced | Correct: pos Predicted: neu
i just realized that the reason i got into twitter was ios thanks apple | Correct: pos Predicted: neg
apple good ipad | Correct: pos Predicted: neg
when you want something done right you do it yourself or go to apple at t you re useless these days yourdaysarenumbered | Correct: pos Predicted: neg
ios apple | Correct: pos Predicted: neg
rt apple no question bro rt ainteeentrippin should i get dis iphone or a evo d | Correct: pos Predicted: neu
azee v apple umber appstore is well done so is itunes on the mobile devices i was talking about desktop app | Correct: pos Predicted: neu
apple jilive danielpink apple sells million iphone s units in first weekend steve jobs brilliance lives on for ever iphone rva | Correct: pos Predicted: neu
incredible million iphone ss in days better than the iphone http t co fmjxtmm apple iphone s | Correct: pos Predicted: neu
well apple fixed my ios battery drain problem with a replacement iphone it s working like a champ now | Correct: pos Predicted: neg
siri now knows who my dad mom brother and girlfriend is thanks apple | Correct: pos Predicted: neg
not bad apple sells over million iphones in debut weekend bloomberg http t co avsl ygu smartphone sm rt vinodrad | Correct: pos Predicted: neu
loving new technology from apple iphone s mac air and icloud are unreal technology | Correct: pos Predicted: neu
time to go get my iphone s looking forward to sticking it to the man by no longer paying for most texts thanks apple | Correct: pos Predicted: neg
hey apple i hate my computer i need a mack wanna send me a free one | Correct: pos Predicted: neg
wisconsin mommy apple i d totally email the company i always get great service at our apple store | Correct: pos Predicted: neg
the nice apple tech support guy fixed my itouch d | Correct: pos Predicted: neg
is it just me or is ios faster for the ipad apple | Correct: pos Predicted: neg
making the switch from android to apple iphone iphone s smartphone stevejobs apple store http t co kj pjvkh | Correct: pos Predicted: neu
apple safari reader owns the worldwide web | Correct: pos Predicted: neu
kind of excited on my way to my last class right now and then going to the apple store so buy macosc snow leopard and lion | Correct: pos Predicted: neg
apple sells million iphones in days apple keep doing what you are doing because you are doing it well http t co zzc be w | Correct: pos Predicted: neu
one word wow rt jldavid iphone s first weekend sales top four million http t co zx pw gt via apple | Correct: pos Predicted: neu
apple the iphone s is great genius | Correct: pos Predicted: neu
so i am using my work pc never ever to get a feel for it it has the worst speakers ever apple you have spoiled me imamac | Correct: pos Predicted: neg
i apple http t co a on iaa | Correct: pos Predicted: neu
thank you steve apple store th av http t co nsaisrip | Correct: pos Predicted: neu
apple ios is sweet notifications phone search covers mail now wifi sync icloud backup and integrated twitter are all well done | Correct: pos Predicted: neg
i apple http t co ondxwper | Correct: pos Predicted: neu
my iphone s battery lasted longer than a day that hasn t happened since my edge iphone nice job apple | Correct: pos Predicted: neg
ibertaddigital tv ipad a briliant stevejobs produck http t co ohfly apple present http t co dbbwsdpx | Correct: pos Predicted: neu
apple ios upgrade done much better feature few more feature required | Correct: pos Predicted: neg
finally got my iphone s thanks apple stupid att learned my lesson | Correct: pos Predicted: neg
apple you have invented a product that actually gets my brother to call my parents when he gets where he s going amazing siri ipod s | Correct: pos Predicted: neg
dammit listening to siri is making me want to upgrade well played apple | Correct: pos Predicted: neg
mad props to the apple employee that didn t charge me to replace the back plate on my iphone made my day | Correct: pos Predicted: neg
asimrang apple umber the desktop app is wack though | Correct: neg Predicted: neu
samsung seeks iphone s ban in japan and australiapatent war intensifies with injunction sought against apple http t co qmwjtvnk | Correct: neg Predicted: neu
where is my iphone apple | Correct: neg Predicted: neu
can someone plz explain to me whhyy apple is only distributing phones per day to the sprint stores i m really http t co uf tak f | Correct: neg Predicted: neu
apple siri is down | Correct: neg Predicted: neu
just searching with my voice on my year old nexus one apple | Correct: neg Predicted: pos
is it me or does iphone s run a little warm sometimes apple | Correct: neg Predicted: pos
late show i would have watched but the folks at apple have a jihad against adobe flash plse consider a youtube link in future on ur site | Correct: neu Predicted: neg
apple how fun wouldn t it be if it was possible to integrate soon to be named with notifications | Correct: neu Predicted: neg
good or bad results for apple depends on who you ask apparently http t co ydh ffxe | Correct: neu Predicted: neg
interesting times when increasing your revenue from b to b in a recession is considered a disappointment apple | Correct: neu Predicted: neg
apple would much rather get outta this having a see pic and have fun with this have your friends choose music http t co iihbr j | Correct: neu Predicted: neg
leg nd apple the new iphone | Correct: neu Predicted: neg
if you ve been struggling to get hold of me i m back online with a new iphone thanks apple | Correct: neu Predicted: neg
hey apple pretty much all your products are amazing you blow minds every time you launch a new gizmo that said your hold music is crap | Correct: neu Predicted: neg
stay young stay foolish but take ownership when u f ck up don t complain and never give up resilience apple | Correct: neu Predicted: neg
couldnt help it explored the iphone s apple store talked to siri should ve tried to speak to her in french nexttime | Correct: neu Predicted: neg
is it just me or do other people miss the ipod symbol on the iphone i had the first ipod it s what i relate to apple ios nostalgia | Correct: neu Predicted: neg
thanks apple now even more people on the bus are talking to inanimate objects harder than ever to tell who s crazy and who s hip | Correct: neu Predicted: neg
just when tomcruise thought he had a unique name for his daughter apple pulls the rug out from under him with the new siri app | Correct: neu Predicted: pos
i wonder if the person who has apple is holding out for apple to buy it from them | Correct: neu Predicted: neg
rt aplusk sending love light to everyone apple the entire jobs family today we lost a giant who will be missed even by those who | Correct: neu Predicted: neg
attending mobilemem listening to james kelley from apple | Correct: neu Predicted: pos
picking up my iphone s in two hours apple | Correct: neu Predicted: neg
yes i am live tweeting my apple tech support call isn t this fun | Correct: neu Predicted: pos
ok apple now we got our ios and icloud can we please have logicx | Correct: neu Predicted: neg
asimrang apple umber well so far ive seen it for apps | Correct: neu Predicted: neg
hello again iphone thank you apple although this should have never broken in the first place tsk | Correct: neu Predicted: pos
asimrang apple umber the podcasts feature works just fine music purchasing is straight forward what else do you want | Correct: neu Predicted: neg
novatyler foreverfit u amazing how quickly apple went down the poop tube it couldn t have do w operator error sarcasm still apple | Correct: neu Predicted: neg
eating apple xdd | Correct: neu Predicted: pos
i wonder if apple osx will get built in twitter support like ios that would be very helpful at the moment | Correct: neu Predicted: neg
samsungmobileus apple would disagree with you right now | Correct: neu Predicted: neg
hey apple could you hook the voice memos app on the iphone up with fine scrubbing journalists need love too | Correct: neu Predicted: neg
dear apple if i make love to icloud will all the things have my babies | Correct: neu Predicted: neg
started out as a trip to the apple store turned into a spontaneous fun evening w molleymoody we danced while trying on outfits girls | Correct: neu Predicted: pos
rememberin wen apple and blackberry were just fruit nostalgia | Correct: neu Predicted: neg
dyanna you mean like muhaimin apple com | Correct: neu Predicted: neg
the new apple find my friends app is great except the part where you have to log in everytime get back to me when this is changed | Correct: neu Predicted: neg
one thing i want from ios is searching in the add bar similar to what firefox or droid phones do but thnx for a talking google apple | Correct: neu Predicted: neg
got the new apple update | Correct: neu Predicted: neg
att just so i have this right i pre ordered an iphone last wk and it will be here in a month i could buy in an apple store today really | Correct: neu Predicted: neg
apple please bring back the old siri app for us old school iphone users | Correct: neu Predicted: neg
upgrading my ipad to ios when apple said it could take a couple of hours to install and restore it they weren t kidding | Correct: neu Predicted: neg
yeah there s no apple twitter account | Correct: neu Predicted: pos
lol bet that android couldnt do that rt ceejay k i promise this iphone been at battery for the last hours i see you apple | Correct: neu Predicted: neg
i promise this iphone been at battery for the last hours i see you apple | Correct: neu Predicted: neg
iphone can you please make the battery last longer thanks apple | Correct: neu Predicted: neg
hey apple next update can we get an emoji that s pointing the middle finger please thanx | Correct: neu Predicted: neg
found out the hard way today that webex does not work with apple ios yet when you are following a link for a meeting | Correct: neu Predicted: neg
iphone s now reservation only if you want to buy it in an apple store tomorrow you have to reserve online after pm tonight | Correct: neu Predicted: neg
in front of the apple store so many blue shirts i feel like i m at a smurf reunion iphone s | Correct: neu Predicted: neg
cnbcfastmomey what price should i sell apple for | Correct: neu Predicted: neg
wiredinsider beautiful yes though it simply reminds me of apple s spinning wheel of death clock reinvented http t co tjcjaqfl | Correct: neu Predicted: pos
it s a good thing apple has not came out with an icar because i would be in line for one and im sure it would be expensive | Correct: neu Predicted: neg
apple internode icloud ios piracy omg no wonder ive used all my downloads | Correct: neu Predicted: neg
jarjartee apple that s really good makes you happy to pay the infamous apple tax | Correct: neu Predicted: neg
hall pass had me rolling apple bee s lookin for nookie really | Correct: neu Predicted: neg
hanrahan apple don t say things you can t take back joel | Correct: neu Predicted: neg
coatgal apple considering his circumstances suffering faults on off for long periods they replaced his phone with a new as a goodwill | Correct: neu Predicted: neg
coatgal apple paul had a chat with an advisor explained the problem cost repair but wait for it drumroll | Correct: neu Predicted: neg
coatgal had a really interestng experience up in the apple store though paul was with me up there faulty iphone but out of warranty | Correct: neu Predicted: pos
alastair w respect the old alternatives were talking to a computer in india or the geek squad apple does a pretty great job | Correct: neu Predicted: pos
i am now the proud owner of apple tv thanks to big bro steveeadie and family | Correct: neu Predicted: pos
apple y u run out of gb iphone now i have to settle for gb saved though content | Correct: neu Predicted: neg
philipgrey apple it s kinda sad that s the most relevant tweet i ve seen today or kinda awesome i m not sure devproblems | Correct: neu Predicted: neg
too bad i m not an apple junkie icloud apple ios | Correct: neu Predicted: neg
anyone know why we can only read ibooks on the iphone and ipad any ideas how to read them on mac apple | Correct: neu Predicted: neg
over the weekend apple sold more than iphones thats about iphones sold every second | Correct: neu Predicted: neg
yesss apple fix it also slow internet rt sprintfeed iphone s owners are you having trouble with siri connecting to internet | Correct: neu Predicted: neg
going to the apple store today to get this laptop situation figured out | Correct: neu Predicted: neg
um why no black people apple | Correct: neu Predicted: neg
i wish someone would gift me an unlocked iphone s iphone apple | Correct: neu Predicted: neg
so apparently that s not the correct apple | Correct: neu Predicted: neg
i love apple i love my phone but ever since this damn update my texts keep saying they re full when there are none that s a problem | Correct: neu Predicted: neg
opinion samsung need to be careful in apple patents issues it looks a lot like you learned a lot by making their chips | Correct: neu Predicted: neg
dear invisible intern assistant please go pick up my computer from the apple hospital so i can upgrade to ios thanks | Correct: neu Predicted: neg
siri i could have done with out its not that great iphone s i hear the iphone is coming out apple inc | Correct: neu Predicted: neg
oh sales guy bestbuy i m not selling or using any apple products during my mourning period over job s passing hmmm | Correct: neu Predicted: neg
i wish my ipod had a feature when it s on the dock to scroll the artist album and song title in huge font across it apple | Correct: neu Predicted: pos
is leaving steve s photo on the apple home page what he would really want in his honor let s get back to innovation eh mark newton | Correct: neu Predicted: neg
is at the apple store waiting for a poorly imac to be seen by a genius hopefully this will be painless not too bad in here | Correct: neu Predicted: neg
iancollinsuk apple what s incredible is that people still buy into apple as world beater s not true anymore | Correct: neu Predicted: pos
apple very disappointed hogwarts not choice on world clock on iphone | Correct: neu Predicted: neg
bxlewi hey do you know why apple hasn t added g support yet seems like an odd omission for such an advanced device | Correct: neu Predicted: pos
really apple and att removing the g edge switch on ios you do realize that you work on the g network in places often right | Correct: neu Predicted: neg
ever since i cleaned my mighty mouse ball with alcohol to get it rolling again any time i click the ball it acts like a left click apple | Correct: neu Predicted: neg
does the iphone s no longer have that stupid network lost pop up possibly the most annoying thing ever that you cannot turn off apple | Correct: neu Predicted: neg
apple can you get your iphone to stop vibrating when you get a text | Correct: neu Predicted: neg
ok it is back iphone apple | Correct: neu Predicted: neg
apple stuck it to amazon when it unveiled icloud showing that the placement of i before the name of even a failed effort yields success | Correct: neu Predicted: neg
paulbentleymelb apple i think they call that profit making genius | Correct: neu Predicted: neg
fregon el nuevo facebook para ipod iphone haha alomejor ya tiene rato pero yo lo acabo de actualizar apple | Correct: neu Predicted: irr
watching igenius on discovery based on first minutes apple never should have gone public in | Correct: neu Predicted: neg
ok so it was a lion and not a leopard too much upgrading this weekend apple | Correct: neu Predicted: neg
virgojud well maybe if you would set ya apple products to send push notifications it would go through | Correct: neu Predicted: neg
hmm it seems i should have checked the identity of apple first | Correct: neu Predicted: pos
apple out of respect i really do think the apple logo should be revised to the one you have no doubt seen http t co xnkwgxme | Correct: neu Predicted: pos
apple do not buy an iphone s that isn t in the store they are not made yet and defrauding you | Correct: neu Predicted: neg
keke blackberry apple haha i know so sad | Correct: neu Predicted: neg
wow dogs apple w starr earlier upstairs in the huge soho store and all of a sudden she sprung to attention http t co b plmyvd | Correct: neu Predicted: neg
comparing the apple blackberry apps interfaces can anyone imagine how blackberry could have done worse sadreally | Correct: neu Predicted: neg
i just told my apple s she was a stupid bitch and her reply was if you insist lol | Correct: neu Predicted: neg
why can t i check just notes without mail on lion for icloud like i do on the ios devices apple | Correct: neu Predicted: neg
you need to ask siri her favorite color and the average speed of an unladen swallow seems someone apple is a monty python fan | Correct: neu Predicted: neg
novatyler i lost a lot that i paid for apple wordswfriends etc nothappy oh well poop happens | Correct: neu Predicted: neg
the folks at apple are awesome so glad i a mactard | Correct: neu Predicted: pos
waiting at end of person line after checking in on time for my genius bar appt apple store i do not find this system genius fail | Correct: neu Predicted: neg
mcp apple appstore why are you asking us apple don t read messages on twitter and apple aren t apple either | Correct: neu Predicted: neg
nansen apple i have not heard of that hubby had no problems i have not done it yet | Correct: neu Predicted: neg
just made the switch from blackberry to apple and never looking back bbwho | Correct: neu Predicted: pos
on that apple shit hard change my twitter name to ifynest | Correct: neu Predicted: neg
dear apple yesterday you sucked today you re awesome thanks lp apple store crash and burn mich ave store | Correct: neu Predicted: neg
adityasood apple quora i totally agree was talking w friends about that yesterday siri everywhere | Correct: neu Predicted: neg
mvm well if it told you what you did to it or how it happened it would be concrete evidence that apple is logging your life l | Correct: neu Predicted: neg
apple y u no let me pre order iphone s | Correct: neu Predicted: neg
blogger loves apple iphone my blogpost finally done through iphone apps | Correct: neu Predicted: neg
can someone explain to me how the hell imessage differs from a text message apple fb | Correct: neu Predicted: neg
can someone explain to me how the hell imessage differs from a text message apple | Correct: neu Predicted: neg
apple how much is the student discount on the macbook air in canada your reps have said both and which is it thanks laptop | Correct: neu Predicted: neg
thanks apple my girlfriend likes siri more than me now | Correct: neu Predicted: pos
oops apparently apple is some handle squatter tweetbarassment | Correct: neu Predicted: neg
apple give siri back | Correct: neu Predicted: neg
new ios notification center is a big improvement but apple missed an easy trick by not making it fully available on lock screen | Correct: neu Predicted: neg
misthang u nope they wouldn t even let me my mom switch apple she has an upgrade mine isn t do til march | Correct: neu Predicted: neg
apple ios is all well and good and has nice new features but i m still waiting on an app that will go to work for me | Correct: neu Predicted: neg
lemme just say ios is mad cool but it needs a lot of bug fixes apple | Correct: neu Predicted: neg
i don t get it instead of apple dropping the gb iphone down to they release an gb one for | Correct: neu Predicted: neg
siri is kinda slow tho impressed it got my accent and commands first time out apple | Correct: neu Predicted: neg
why doesn t the genius have songs for watch the throne yet huh apple | Correct: neu Predicted: neg
our trip to sf and silicon valley is about to end visit apple hq is one of the final stops http t co ikooqdoc | Correct: neu Predicted: neg
do wish hudl would come up with a native apple mac version of their video editor especially with hd video but love everything hudl | Correct: neu Predicted: neg
proof that my dad loves my sis more rt annacorinne woke up to my dad at my door w my new iphone he surprised me went to apple | Correct: neu Predicted: neg
apple iphone s arrival on tuesday iphone s | Correct: neu Predicted: neg
no kidding thejabberwockey also ericgreenspan don t forget apple stop closing the app store after each bloody purchase | Correct: neu Predicted: neg
so what is behind that giant silver door at the apple store maclife | Correct: neu Predicted: neg
rt apple yea our stores are open days a week rt wasalu flora me too rt dj bmoney ipad iphone s my christmas gifts to my self | Correct: neu Predicted: neg
ios needed to include a landscape mode for reminders apple | Correct: neu Predicted: neg
de la nada mi iphone se fue a negro y empez a vibrar hubo que resetearlo que onda con ios wtfh apple | Correct: neu Predicted: irr
davidcohen sounds like nd day strategy isn t working we got ours yesterday in and out in no time apple staff awesome efficient | Correct: neu Predicted: pos
when is apple gonna update the fact that i can t see emoji on twitter for mac | Correct: neu Predicted: neg
apple so why is the ios support for nd gen ipods discontinued it is only years old give us an ios update please | Correct: neu Predicted: neg
just had a look on ebay for iphone s and some have bids at well over some gb white they are delivered apple | Correct: neu Predicted: pos
thatstevegray done that buddy just surprised that there s no option from apple if you turn it back on it brings back the pics u delete | Correct: neu Predicted: neg
so apple changed the look of their on off toggle i wonder how long it will take for all the hip web apps to follow | Correct: neu Predicted: pos
i want everybody on earth to imessage me is there anyway the world can imessage me without giving them my phone number apple | Correct: neu Predicted: neg
salesperson at soho apple store it doesn t matter how many people are lined up out front they re not gonna get one iphone s | Correct: neu Predicted: neg
apple and i m looking at the outside all you see is sticky notes about steve jobs | Correct: neu Predicted: neg
iphone update is great but seriously apple let me delete stuff i dont want like gamecenter steve wont mind | Correct: neu Predicted: neg
if apple could put the usb female connector in cars would be dope | Correct: neu Predicted: neg
what do we have to do to get flash on ipad apple please please please change your mind thank you in advance kusi sk peternemcok | Correct: neu Predicted: neg
ireton perhaps it s time for apple to come out with an app called isuck that lets you know which apps are killing your battery life | Correct: neu Predicted: neg
min line apple store short pump | Correct: neu Predicted: neg
lol apple support playing mary j blige during the wait time | Correct: neu Predicted: pos
apple in austin domain location umbrellas are nice but being staffed properly would be better | Correct: neu Predicted: neg
bored need a new intriguing app for my ipad any suggestions apple yyc gadget guy | Correct: neu Predicted: neg
keepnupwittboyd appstore itunesmusic they fixed a bug thursday after i had done my update thus my issue spent fri apple ios | Correct: neu Predicted: neg
and apple i still have an old mbp from which i use which can t run lion i still like to sync it | Correct: neu Predicted: neg
molifer apple when we find people standing in the middle of blood soaked rooms saying siri told me to noreallyihearvoices | Correct: neu Predicted: neg
now with siri were talking to our iphones how will we ever know if people are really truly crazy p iphone s siri apple apple | Correct: neu Predicted: neg
notleifgarrett apple you ll be able to afford that mansion one day | Correct: neu Predicted: neg
notleifgarrett apple wished their on hold music played pictures of you | Correct: neu Predicted: pos
after being on hold with apple for the last mins i really like their music selection of on hold music white stripes ray lamontagne | Correct: neu Predicted: neg
tvnewschick apple oh no why not i want it to be love love love it s a lot of dough to spend otherwise | Correct: neu Predicted: pos
one of the great entrepreneurs has died steve jobs has passed away our hearts go out to his family and everyone at apple | Correct: neu Predicted: neg
fashionnoguilt haha tomorrow should be less hectic too cause everyone and their moms was at the apple store today | Correct: neu Predicted: neg

Predictions:1 - loving these names google chases apple with ice cream sandwich http t co u lchmgd mobile -> neu
2 - chefreggie rolandsmartin apple get ready tampa bay the martin s are coming to town bring it on buccaneers -> neg
3 - any chance apple will release good headphones that dont blast music outside the ears iphone ipod its quite obnoxious -> neg
4 - sorry apple but imessage will never be what bbm is disappointed -> neg
5 - dear apple please send me my mac book back surely the repair is done by now thanks -> neg
6 - sprint bestbuy still no word on my iphone s preorder best buy blames sprint sprint blames apple i just want an honest answer help -> neg
7 - lmao i think apple is onto something magical i am dying haha siri suggested where to find whores and where to hide a body lolol -> pos
8 - win an apple ipod touch from mommy gaga get the pampers hello world baby memories app http t co xjzalcs pampershelloapps -> neu
9 - siri i could have done with out its not that great iphone s i hear the iphone is coming out apple inc -> neg
10 - after a week or so with apple s ios i m considering going back to jailbroken same features as plus more not as stable though -> neg
11 - apple thanks for fixing this http t co wtj ogdo -> pos
12 - eating apple xdd -> pos
13 - apple siri is efffing amazing -> pos
14 - gotta say the apple itouch iphone shuffle etc sound quality is awful painfully crap its been a downgrade from sony sound quality wise -> neg
15 - fullscreen berall nur der appstore hat keine option daf r warum apple -> neu
16 - dear apple i don t want the newsstand icon on my screen notcool -> neg
17 - making the switch from android to apple iphone iphone s smartphone stevejobs apple store http t co kj pjvkh -> neu
18 - iphone apple ne jp -> pos
19 - yo apple va falloir faire quelque chose pour l app vid o le fait de pas pouvoir laisser la vid o jouer en faisant autre chose diarrh e -> irr
20 - thank you apple for making my ipad feel like new again with your new ios -> pos
21 - digital x worldwide today is steve jobs day in california apple http t co qschumin -> neu
22 - meet siri your new iphone butler click the link and be amazed by all it can do http t co lvffdcel apple -> pos
23 - apple thank you for ruining my gs with ios you ve just turned my phone into an utterly useless pile of shit -> neg
24 - mad props to the apple employee that didn t charge me to replace the back plate on my iphone made my day -> neg
25 - not bad apple sells over million iphones in debut weekend bloomberg http t co avsl ygu smartphone sm rt vinodrad -> neu
26 - rt tomkeene thx instagram thx apple hypo d tri x http t co bppjwncp -> pos
27 - on that apple shit hard change my twitter name to ifynest -> neg
28 - rickysinghpt got a new backside for my eye phone v impressed with apple -> pos
29 - seemingly endless loop of calls to apple ups verizonwireless to investigate my missing iphone s crankywithnophone -> neg
30 - apple iphone please deliver my daughter s i s she is driving me nuts iphone -> neg
31 - i will never purchase another apple product for the rest of my life i am glad steve jobs is fucking dead may you fucking rot in hell -> neg
32 - bah genius bar rt edatpost apple fan eric holder spotted at the genius store http t co ftlttlpn -> neu
33 - only thing ios has done is deleted my tiger woods game and made impossible to retrieve thanks apple -> neg
34 - prjusto don t question the apple they will remember your dissent -> neg
35 - apple your service experience is really fucking slipping except for cute eyelash batting girlies apple store http t co dohdenmg -> neg
36 - rt deb lavoy the nice guy at the apple store replaced my phone gratis when i showed him the hairline crack on the screen thanks apple -> pos
37 - ios needed to include a landscape mode for reminders apple -> neg
38 - thinking more i want android to do an imessage service for google apple to interconnect they would if the cared about their users -> neu
39 - thanks to apple my new imac is a brick i cannot re install lion and i cannot purchase it because it was installed by the former owner -> neg
40 - apple you can suck it you and your fucking iphones better be glad it s all i like cause the service is fucking terrible -> neg
41 - ryanbaldwin apple so in itunes i go store authorise why doesn t it just auto authorise it when i sign into itunes grrrr -> neg
42 - rogriffo vc viu ontem a apple estava dando iphone no site dos estados unidos -> neu
43 - salesperson at soho apple store it doesn t matter how many people are lined up out front they re not gonna get one iphone s -> neg
44 - apple will be adding more carrier support to the iphone s just announced -> neu
45 - anyone know why we can only read ibooks on the iphone and ipad any ideas how to read them on mac apple -> neg
46 - will apple s mac ever properly be used in the financial markets or is it purely a creatives device shift from ibm to mac finpanther -> neu
47 - rt dailydealchat bidmyway i like your app for the apple iphone very simple and easy to use -> neu
